,№,Topic,label,Solution
0,8,I have problems with my laptop. It keeps freezing and crashing and I have tried everything to fix it. Can you help?,Support,Run antivirus check and follow the antivirus' instructions. Let me know of the results.
1,104,"I have a problem with the sound on my computer. I checked the settings and everything is fine, but I still can't hear anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
2,108,"I have a problem with the camera on my computer. I checked the settings and everything is fine, but I still don't see anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
3,112,"I have a problem with the microphone on my computer. I checked the settings and everything is fine, but I still can't hear anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
4,170,I'm having trouble accessing certain websites on my computer.,Network,Please specify the exact websites you are trying to access. It is possible that these sites are unreachable from our company's network.
5,173,My computer is having sound problems.,Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
6,179,I have a problem with the screen resolution on my computer.,Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
7,236,I can't use the software due to a hardware problem. I need help finding a solution.,Hardware,Please contact the workstation support service
8,265,I can't print from my computer. It's been a problem for a few days now.,Support,Follow this instruction and let me know the results: https://support.microsoft.com/en-us/windows/fix-printer-connection-and-printing-problems-in-windows-fb830bff-7702-6349-33cd-9443fe987f73
9,268,I am having trouble accessing the database from my laptop. Connection timeout continues.,Hardware,Please check whether your access credentials are valid.
10,310,I have a problem with the performance of my computer. It's very slow going.,Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
11,323,"My computer is making strange noises, I'm worried that something might be wrong.",Hardware,"It is necessary to clean the system unit from dust. There are detailed instructions on the portal. If you are afraid to do it yourself, contact the workstation support service."
12,324,"My computer is having problems with the mouse, it is very annoying.",Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
13,326,"There is a problem with the keyboard on my computer, some keys are not working.",Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
14,329,"My computer has problems with the camera, it doesn't work.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
15,331,"I have a problem with the cooling system on my computer, it makes strange noises.",Hardware,"It is necessary to clean the system unit from dust. There are detailed instructions on the portal. If you are afraid to do it yourself, contact the workstation support service."
16,333,"There is a problem with my laptop battery, it won't hold the charge.",Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
17,340,"I'm having trouble accessing the company's website. Every time I try to log in, it says that my credentials are incorrect.",Access,Please use the password reset utility. There is the instruction on the portal.
18,348,I have a problem with the company's equipment. My computer won't boot and I can't access any files.,Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
19,354,"I have a problem with the installation of new equipment, it does not connect properly. Can you help?",Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
20,393,I have a problem with the company's hardware management. It doesn't work as expected. Can you help?,Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
21,415,My computer is running very slow and I can't figure out why. I tried restarting it but that didn't help.,Hardware,Run antivirus check and follow the antivirus' instructions. Let me know of the results.
22,421,My computer freezes and I don't know what to do. I tried restarting it but the problem persists.,Hardware,Run antivirus check and follow the antivirus' instructions. Let me know of the results.
23,425,"I have a problem with the sound on my computer. I checked the parameters and everything is on record, but I still can't hear anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
24,429,"I have a problem with the camera on my computer. I checked the settings and everything is fine, but I still don't see anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
25,431,I have a problem with the printer. He doesn't answer and I don't know what to do.,Printer,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
26,433,"I have a problem with the microphone on my computer. I checked the parameters and everything is in the wey register, but I still can't hear anything.",Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
27,494,My computer is having sound problems.,Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
28,500,I have a problem with the screen resolution on my computer.,Hardware,Check if the current version of the device driver is installed. Detailed instructions are posted on the portal.
29,557,I can't use the program because of the hardware problem. I need help finding hell.,Hardware,"Maintenance is required, please contact the workstation support service. In case of critical failure, the device"
30,644,"My computer is making strange noises, I'm worried that something might be wrong.",Hardware,"It is necessary to clean the system unit from dust. There are detailed instructions on the portal. If you are afraid to do it yourself, contact the workstation support service."
31,1544,"My laptop does not turn on, I tried to charge it, but nothing happens.",Hardware,The power supply is damaged and needs to be replaced. Contact your nearest service center.
32,1624,"I can't send it from my computer, it doesn't work.",Printer,"Please check if the printer is connected to your computer. If so, contact your system administrator."
33,1972,"I can't print from my computer. The printer is connected, but it does not respond when I try to print.",Printer,Please contact your system administrator.
34,1987,"I try to print the document, but the printout is completely faded and illegible.",Printer,"Please check if the printer is connected to your computer. If so, contact your system administrator."
